Algoritmo,Modificação,Modificação_Base,Total_Cases,Successful_Requests,Success_Rate_Percent,Found_in_Top_K,Hit_Rate_Percent,Avg_Response_Time_Seconds,Avg_Position_When_Found,All_Positions,Median_Position,Is_Truncated
Texto Puro,text_with_formulas_replaced,text_with_formulas_replaced,20,20,100.0,8,40.0,74,4.75,"[7, 6, 9, 1, 1, 7, 6, 1]",6.0,False
Texto Puro,text_with_formulas_replaced_truncated_50,text_with_formulas_replaced,20,20,100.0,7,35.0,31,6.71,"[3, 8, 9, 7, 9, 2, 9]",8.0,True
Texto Puro,text_lightly_modified,text_lightly_modified,20,20,100.0,3,15.0,0.03,3.67,"[5, 1, 5]",5.0,False
Texto Puro,text_lightly_modified_truncated_50,text_lightly_modified,20,20,100.0,4,20.0,27,9.0,"[8, 9, 10, 9]",9.0,True
Texto Puro,text_semantically_modified,text_semantically_modified,20,20,100.0,1,5.0,32,2.0,[2],2.0,False
Texto Puro,text_semantically_modified_truncated_50,text_semantically_modified,20,20,100.0,2,10.0,89,5.5,"[3, 8]",5.5,True
Texto Puro,text_natural_language,text_natural_language,20,20,100.0,15,75.0,73,1.73,"[3, 2, 1, 1, 1, 1, 6, 1, 1, 4, 1, 1, 1, 1, 1]",1.0,False
Texto Puro,text_natural_language_truncated_50,text_natural_language,20,20,100.0,13,65.0,62,3.15,"[4, 1, 4, 1, 4, 4, 1, 10, 1, 1, 1, 1, 8]",1.0,True
Fórmulas Tratadas,text_with_formulas_replaced,text_with_formulas_replaced,20,20,100.0,20,100.0,65,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,False
Fórmulas Tratadas,text_with_formulas_replaced_truncated_50,text_with_formulas_replaced,20,20,100.0,14,70.0,59,2.21,"[1, 1, 1, 1, 2, 1, 1, 1, 5, 1, 1, 1, 10, 4]",1.0,True
Fórmulas Tratadas,text_lightly_modified,text_lightly_modified,20,20,100.0,18,90.0,42,1.06,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,False
Fórmulas Tratadas,text_lightly_modified_truncated_50,text_lightly_modified,20,20,100.0,10,50.0,31,1.6,"[1, 1, 1, 2, 1, 2, 1, 2, 1, 4]",1.0,True
Fórmulas Tratadas,text_semantically_modified,text_semantically_modified,20,20,100.0,8,40.0,52,2.62,"[2, 6, 1, 2, 1, 5, 2, 2]",2.0,False
Fórmulas Tratadas,text_semantically_modified_truncated_50,text_semantically_modified,20,20,100.0,3,15.0,37,2.67,"[3, 1, 4]",3.0,True
Fórmulas Tratadas,text_natural_language,text_natural_language,20,20,100.0,15,75.0,34,1.8,"[3, 3, 3, 1, 1, 3, 1, 1, 1, 5, 1, 1, 1, 1, 1]",1.0,False
Fórmulas Tratadas,text_natural_language_truncated_50,text_natural_language,20,20,100.0,11,55.0,28,1.82,"[3, 1, 1, 7, 1, 2, 1, 1, 1, 1, 1]",1.0,True
Embedding Texto,text_with_formulas_replaced,text_with_formulas_replaced,20,20,100.0,20,100.0,2159,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,False
Embedding Texto,text_with_formulas_replaced_truncated_50,text_with_formulas_replaced,20,20,100.0,13,65.0,919,2.0,"[1, 1, 1, 2, 1, 1, 2, 1, 3, 2, 2, 4, 5]",2.0,True
Embedding Texto,text_lightly_modified,text_lightly_modified,20,20,100.0,20,100.0,0.24,1.05,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]",1.0,False
Embedding Texto,text_lightly_modified_truncated_50,text_lightly_modified,20,20,100.0,10,50.0,219,2.3,"[1, 1, 2, 1, 1, 2, 8, 1, 2, 4]",1.5,True
